id,contract_id,amount,due_date,paid_date,status,payment_method,notes,external_id,created_at,updated_at,payment_type
556241a7-6f44-4398-a750-3683872dd9da,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-09-01,2024-09-01,paid,DD,1,,2025-09-18T16:06:51.304603+00:00,2025-09-18T16:06:51.304603+00:00,normalPayment
8c9eb8e1-67ac-4db7-ae4b-c9be5e5d4da8,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-10-01,2024-10-01,paid,DD,2,,2025-09-18T16:06:51.304791+00:00,2025-09-18T16:06:51.304791+00:00,normalPayment
59ad0dee-3ce9-48a6-ac77-419d25673b76,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-11-01,2024-11-01,paid,DD,3,,2025-09-18T16:06:51.304810+00:00,2025-09-18T16:06:51.304810+00:00,normalPayment
af312a52-60ca-4ef7-8320-431c75060293,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-12-01,2024-12-01,paid,DD,4,,2025-09-18T16:06:51.304824+00:00,2025-09-18T16:06:51.304824+00:00,normalPayment
5f7d2eea-96a4-4169-898a-1990df9c8280,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-01-01,2025-01-01,paid,DD,5,,2025-09-18T16:06:51.304837+00:00,2025-09-18T16:06:51.304837+00:00,normalPayment
095c2195-f38b-49c9-8117-d1bee7664eaa,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-02-01,2025-02-01,paid,DD,6,,2025-09-18T16:06:51.304849+00:00,2025-09-18T16:06:51.304849+00:00,normalPayment
dd099e63-3f8d-4241-a78f-193ceb1d21bc,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-03-01,2025-03-01,paid,DD,7,,2025-09-18T16:06:51.304862+00:00,2025-09-18T16:06:51.304862+00:00,normalPayment
c6c23fce-c720-4dc2-b110-16afbba0823c,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-04-01,2025-04-01,paid,DD,8,,2025-09-18T16:06:51.304873+00:00,2025-09-18T16:06:51.304873+00:00,normalPayment
0d5736c7-3aee-43ec-b232-9c60a937717e,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-05-01,2025-05-01,paid,DD,9,,2025-09-18T16:06:51.304885+00:00,2025-09-18T16:06:51.304885+00:00,normalPayment
8ebcad54-8717-4df2-8ffe-6597f894b49d,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-06-01,2025-06-01,paid,DD,10,,2025-09-18T16:06:51.304897+00:00,2025-09-18T16:06:51.304897+00:00,normalPayment
