id,contract_id,amount,due_date,paid_date,status,payment_method,notes,external_id,created_at,updated_at,payment_type
7bffffba-f287-42dd-9af0-020d5143c2c8,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-09-01,2024-09-01,paid,,1,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_1,2025-09-18T16:23:49.881242,2025-09-18T16:23:49.881250,normalPayment
9faf1d08-9541-4a60-8382-cf28d03a0e4f,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-10-01,2024-10-01,paid,,2,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_2,2025-09-18T16:23:49.881268,2025-09-18T16:23:49.881269,normalPayment
051f2bf0-728a-4ff3-9d12-c771e3ea4e05,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-11-01,2024-11-01,paid,,3,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_3,2025-09-18T16:23:49.881283,2025-09-18T16:23:49.881283,normalPayment
61e0ac10-2daf-414e-b357-1bae40d1be3c,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2024-12-01,2024-12-01,paid,,4,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_4,2025-09-18T16:23:49.881295,2025-09-18T16:23:49.881296,normalPayment
f5c8cb39-a451-4111-ab56-13c6460bcb53,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-01-01,2025-01-01,paid,,5,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_5,2025-09-18T16:23:49.881306,2025-09-18T16:23:49.881306,normalPayment
b26bd2f7-163d-4cf0-a9d8-9a4f1d422e0b,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-02-01,2025-02-01,paid,,6,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_6,2025-09-18T16:23:49.881316,2025-09-18T16:23:49.881316,normalPayment
96c4dbd7-8c9d-41f8-86bd-07368bb16f60,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-03-01,2025-03-01,paid,,7,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_7,2025-09-18T16:23:49.881326,2025-09-18T16:23:49.881326,normalPayment
4ad62ada-1aba-464b-a567-606bc221adb5,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-04-01,2025-04-01,paid,,8,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_8,2025-09-18T16:23:49.881336,2025-09-18T16:23:49.881336,normalPayment
12dd2649-cb06-414f-b017-ecadde3da72e,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-05-01,2025-05-01,paid,,9,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_9,2025-09-18T16:23:49.881346,2025-09-18T16:23:49.881347,normalPayment
c3b605ba-ca57-41c5-a4dc-f6ec2a383ecd,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-06-01,2025-06-01,paid,,10,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_10,2025-09-18T16:23:49.881356,2025-09-18T16:23:49.881357,normalPayment
61b262dc-ef6a-49de-acc9-7f4936623c88,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-07-01,2025-07-01,paid,,11,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_11,2025-09-18T16:23:49.881371,2025-09-18T16:23:49.881372,normalPayment
5f870461-d513-4d6b-9c3f-57b5ea39bedc,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-08-01,2025-08-01,paid,,12,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_12,2025-09-18T16:23:49.881382,2025-09-18T16:23:49.881382,normalPayment
33eeff7a-c0b7-46e9-ad46-e7f044275d2d,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-09-01,,pending,,13,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_13,2025-09-18T16:23:49.881392,2025-09-18T16:23:49.881393,normalPayment
cb3521df-525d-4615-9402-57c048d85029,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-10-01,,pending,,14,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_14,2025-09-18T16:23:49.881403,2025-09-18T16:23:49.881404,normalPayment
a5e0dfc0-f6c3-4faf-bc99-045015918079,533b4ac7-79cf-4684-85b8-a9237d97a4e8,269.17,2025-11-01,,pending,,15,ADELAIDE MARIA LOPES MILHAZES_Ativo_installment_15,2025-09-18T16:23:49.881414,2025-09-18T16:23:49.881414,normalPayment
